player_id,seasons_played,total_gp,total_w,total_l,career_w_pct,total_min,total_fgm,total_fga,career_fg_pct,total_fg3m,total_fg3a,career_fg3_pct,total_ftm,total_fta,career_ft_pct,total_oreb,total_dreb,total_reb,total_ast,total_tov,total_stl,total_blk,total_blka,total_pf,total_pfd,total_pts,total_plus_minus,total_nba_fantasy_pts,total_dd2,total_td3,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,first_season,last_season
2,1,79,54,25,0.6835443,1439.7783,163.0,379.0,0.43007916,73.0,188.0,0.3882979,127.0,151.0,0.8410596,21.0,97.0,118.0,99.0,53.0,46.0,16.0,9.0,72.0,1.0,526.0,199.0,949.1,0.0,0.0,6.658228,1.493671,1.2531645,0.5822785,0.20253165,0.6708861,21996,21996
3,7,370,162,208,0.43783784,8083.417,729.0,1692.0,0.43085107,27.0,108.0,0.25,559.0,750.0,0.7453333,462.0,1028.0,1490.0,404.0,377.0,318.0,72.0,97.0,793.0,40.0,2044.0,-454.0,5231.0005,8.0,0.0,5.5243244,4.027027,1.0918919,0.85945946,0.19459459,1.0189189,21996,22002
7,3,138,71,67,0.51449275,1956.3184,213.0,520.0,0.4096154,0.0,1.0,0.0,141.0,179.0,0.7877095,141.0,240.0,381.0,62.0,96.0,50.0,51.0,42.0,279.0,2.0,567.0,3.0,1324.2001,2.0,0.0,4.1086955,2.7608695,0.44927537,0.36231884,0.36956522,0.6956522,21996,21998
9,1,21,17,4,0.8095238,335.11334,28.0,74.0,0.3783784,8.0,20.0,0.4,6.0,8.0,0.75,5.0,19.0,24.0,40.0,13.0,15.0,3.0,4.0,29.0,0.0,70.0,-36.0,199.8,0.0,0.0,3.3333333,1.1428572,1.9047619,0.71428573,0.14285715,0.61904764,21996,21996
12,1,8,6,2,0.75,40.928333,2.0,7.0,0.2857143,0.0,0.0,,0.0,4.0,0.0,1.0,10.0,11.0,1.0,4.0,2.0,1.0,1.0,8.0,0.0,4.0,-14.0,23.7,0.0,0.0,0.5,1.375,0.125,0.25,0.125,0.5,21998,21998
15,12,643,245,398,0.38102645,12617.42,1745.0,4013.0,0.43483678,753.0,1856.0,0.4057112,809.0,955.0,0.8471204,405.0,1075.0,1480.0,653.0,520.0,343.0,90.0,177.0,919.0,21.0,5052.0,-935.0,8586.5,3.0,0.0,7.8569207,2.3017108,1.015552,0.533437,0.1399689,0.8087092,21996,22007
17,2,132,85,47,0.6439394,4745.3984,849.0,1958.0,0.43360573,225.0,669.0,0.33632287,478.0,614.0,0.77850163,223.0,496.0,719.0,736.0,345.0,247.0,78.0,82.0,344.0,4.0,2401.0,439.0,4997.8,21.0,3.0,18.189394,5.4469695,5.5757575,1.8712121,0.59090906,2.6136363,21996,21997
21,6,395,216,179,0.5468354,7612.115,902.0,2251.0,0.4007108,404.0,1077.0,0.37511605,418.0,589.0,0.7096774,117.0,567.0,684.0,1284.0,497.0,436.0,27.0,85.0,614.0,20.0,2626.0,-228.0,6264.8003,6.0,0.0,6.6481013,1.7316456,3.250633,1.1037974,0.06835443,1.2582278,21996,22001
22,4,253,164,89,0.6482214,6724.8867,1611.0,3294.0,0.48907104,2.0,14.0,0.14285715,625.0,800.0,0.78125,399.0,1143.0,1542.0,305.0,443.0,100.0,299.0,156.0,826.0,30.0,3849.0,742.0,6910.9004,34.0,0.0,15.213439,6.0948615,1.2055336,0.3952569,1.1818181,1.7509881,21996,21999
23,4,170,128,42,0.7529412,5855.1084,311.0,723.0,0.43015215,9.0,45.0,0.2,138.0,252.0,0.54761904,851.0,1662.0,2513.0,444.0,308.0,91.0,50.0,25.0,522.0,27.0,769.0,820.0,4565.6,16.0,0.0,4.5235295,14.782353,2.6117647,0.5352941,0.29411766,1.8117647,21996,21999
26,5,253,171,82,0.6758893,5827.872,842.0,1837.0,0.45835602,0.0,2.0,0.0,356.0,458.0,0.77729255,420.0,864.0,1284.0,431.0,452.0,105.0,200.0,186.0,788.0,17.0,2040.0,635.0,4690.3003,12.0,0.0,8.063241,5.075099,1.7035573,0.41501975,0.7905138,1.7865613,21996,22000
28,5,173,65,108,0.37572256,3660.9116,391.0,903.0,0.4330011,15.0,54.0,0.2777778,152.0,206.0,0.7378641,87.0,254.0,341.0,234.0,122.0,103.0,48.0,54.0,454.0,12.0,949.0,-290.0,2040.2,0.0,0.0,5.485549,1.9710983,1.3526012,0.5953757,0.27745664,0.70520234,21996,22000
29,5,266,150,116,0.56390977,4197.888,327.0,731.0,0.4473324,1.0,10.0,0.1,139.0,262.0,0.5305343,373.0,534.0,907.0,84.0,176.0,105.0,465.0,88.0,786.0,39.0,794.0,329.0,3542.4001,1.0,0.0,2.9849625,3.4097745,0.31578946,0.39473686,1.7481203,0.6616541,21996,22000
31,3,41,15,26,0.36585367,453.87,40.0,57.0,0.7017544,0.0,0.0,,5.0,9.0,0.5555556,56.0,64.0,120.0,8.0,23.0,11.0,17.0,4.0,79.0,1.0,85.0,-107.0,302.0,1.0,0.0,2.0731707,2.9268293,0.19512194,0.2682927,0.41463414,0.5609756,21996,21999
32,2,48,16,32,0.33333334,764.3567,82.0,180.0,0.45555556,0.0,2.0,0.0,31.0,62.0,0.5,105.0,135.0,240.0,31.0,33.0,24.0,44.0,17.0,104.0,1.0,195.0,-93.0,700.5,1.0,0.0,4.0625,5.0,0.6458333,0.5,0.9166667,0.6875,21996,21997
35,2,74,23,51,0.3108108,875.4633,84.0,189.0,0.44444445,0.0,1.0,0.0,49.0,67.0,0.73134327,79.0,153.0,232.0,35.0,63.0,24.0,72.0,12.0,153.0,1.0,217.0,-45.0,772.9,0.0,0.0,2.9324324,3.1351352,0.47297296,0.3243243,0.972973,0.8513514,21997,21998
36,1,17,5,12,0.29411766,255.92334,38.0,101.0,0.37623763,11.0,30.0,0.36666667,29.0,36.0,0.8055556,12.0,18.0,30.0,25.0,40.0,12.0,1.0,8.0,38.0,0.0,116.0,-37.0,188.5,0.0,0.0,6.8235292,1.7647059,1.4705882,0.7058824,0.05882353,2.3529413,21996,21996
37,2,34,28,6,0.8235294,249.42667,36.0,92.0,0.39130434,9.0,34.0,0.2647059,28.0,42.0,0.6666667,2.0,12.0,14.0,17.0,20.0,13.0,1.0,5.0,19.0,0.0,109.0,-10.0,173.3,0.0,0.0,3.2058823,0.4117647,0.5,0.38235295,0.029411765,0.5882353,21996,21997
38,2,15,7,8,0.46666667,146.15666,11.0,36.0,0.30555555,6.0,21.0,0.2857143,1.0,3.0,0.33333334,4.0,15.0,19.0,6.0,4.0,2.0,2.0,1.0,16.0,0.0,29.0,-68.0,68.8,0.0,0.0,1.9333333,1.2666667,0.4,0.13333334,0.13333334,0.26666668,21996,21997
42,7,384,196,188,0.5104167,6940.915,1056.0,2174.0,0.48574057,4.0,27.0,0.14814815,563.0,835.0,0.6742515,439.0,719.0,1158.0,487.0,495.0,224.0,131.0,243.0,784.0,10.0,2679.0,-585.0,5369.1,4.0,0.0,6.9765625,3.015625,1.2682291,0.5833333,0.34114584,1.2890625,21996,22002
43,8,493,198,295,0.4016227,9194.006,1143.0,2882.0,0.3965996,520.0,1435.0,0.36236933,668.0,767.0,0.87092566,86.0,654.0,740.0,1481.0,541.0,318.0,30.0,93.0,851.0,42.0,3474.0,-566.0,7086.5,8.0,0.0,7.0466533,1.5010142,3.0040567,0.64503044,0.060851928,1.0973631,21996,22003
45,6,398,184,214,0.46231157,9905.222,1274.0,3197.0,0.3984986,482.0,1366.0,0.35285506,629.0,764.0,0.82329845,309.0,1010.0,1319.0,1001.0,567.0,319.0,107.0,168.0,906.0,6.0,3659.0,-598.0,7454.3,7.0,0.0,9.193467,3.3140705,2.5150754,0.80150753,0.26884422,1.4246231,21996,22001
47,1,53,25,28,0.4716981,778.61,158.0,371.0,0.42587602,0.0,0.0,,30.0,48.0,0.625,35.0,85.0,120.0,20.0,36.0,8.0,21.0,15.0,111.0,0.0,346.0,-69.0,571.0,0.0,0.0,6.5283017,2.2641509,0.3773585,0.1509434,0.3962264,0.6792453,21996,21996
