team_id,abbreviation,nickname,year_founded,city
1610612737,ATL,Hawks,1949,Atlanta
1610612738,BOS,Celtics,1946,Boston
1610612739,CLE,Cavaliers,1970,Cleveland
1610612740,NOP,Pelicans,2002,New Orleans
1610612741,CHI,Bulls,1966,Chicago
1610612742,DAL,Mavericks,1980,Dallas
1610612743,DEN,Nuggets,1976,Denver
1610612744,GSW,Warriors,1946,San Francisco
1610612745,HOU,Rockets,1967,Houston
1610612746,LAC,Clippers,1970,Los Angeles
1610612747,LAL,Lakers,1948,Los Angeles
1610612748,MIA,Heat,1988,Miami
1610612749,MIL,Bucks,1968,Milwaukee
1610612750,MIN,Timberwolves,1989,Minnesota
1610612751,BKN,Nets,1976,Brooklyn
1610612752,NYK,Knicks,1946,New York
1610612753,ORL,Magic,1989,Orlando
1610612754,IND,Pacers,1976,Indiana
1610612755,PHI,76ers,1949,Philadelphia
1610612756,PHX,Suns,1968,Phoenix
1610612757,POR,Trail Blazers,1970,Portland
1610612758,SAC,Kings,1948,Sacramento
1610612759,SAS,Spurs,1976,San Antonio
1610612760,OKC,Thunder,1967,Oklahoma City
1610612761,TOR,Raptors,1995,Toronto
1610612762,UTA,Jazz,1974,Utah
1610612763,MEM,Grizzlies,1995,Memphis
1610612764,WAS,Wizards,1961,Washington
1610612765,DET,Pistons,1948,Detroit
1610612766,CHA,Hornets,1988,Charlotte
